meso_cluster_id	main_field_seq	main_field_id	weight	is_primary_main_field
1	1	3	1	True
2	1	5	1	True
3	1	2	1	True
4	1	3	1	True
5	1	1	1	True
6	1	1	0.5	True
6	2	2	0.5	False
7	1	4	0.5	True
7	2	2	0.5	False
8	1	1	1	True
9	1	5	1	True
10	1	4	1	True
11	1	4	1	True
12	1	1	1	True
13	1	2	1	True
14	1	2	1	True
15	1	5	1	True
16	1	3	1	True
17	1	1	0.5	True
17	2	5	0.5	False
18	1	3	1	True
19	1	5	1	True
20	1	1	1	True
21	1	1	1	True
22	1	3	1	True
23	1	2	1	True
24	1	3	1	True
25	1	5	1	True
26	1	4	1	True
27	1	3	1	True
28	1	5	1	True
29	1	1	1	True
30	1	3	1	True
31	1	3	1	True
32	1	3	1	True
33	1	5	1	True
34	1	3	1	True
35	1	3	1	True
36	1	2	1	True
37	1	2	1	True
38	1	2	1	True
39	1	5	1	True
40	1	4	1	True
41	1	2	1	True
42	1	5	1	True
43	1	4	0.5	True
43	2	2	0.5	False
44	1	4	1	True
45	1	3	1	True
46	1	4	1	True
47	1	5	1	True
48	1	2	1	True
49	1	2	1	True
50	1	1	0.5	True
50	2	5	0.5	False
51	1	4	0.5	True
51	2	2	0.5	False
52	1	4	1	True
53	1	2	1	True
54	1	4	1	True
55	1	2	1	True
56	1	2	1	True
57	1	2	1	True
58	1	3	1	True
59	1	1	1	True
60	1	3	1	True
61	1	2	1	True
62	1	5	1	True
63	1	1	1	True
64	1	4	1	True
65	1	4	1	True
66	1	5	1	True
67	1	3	1	True
68	1	4	1	True
69	1	2	1	True
70	1	5	1	True
71	1	2	1	True
72	1	5	1	True
73	1	3	1	True
74	1	3	1	True
75	1	2	1	True
76	1	3	1	True
77	1	2	1	True
78	1	4	1	True
79	1	3	1	True
80	1	1	1	True
81	1	5	1	True
82	1	5	1	True
83	1	2	0.5	True
83	2	4	0.5	False
84	1	1	0.5	True
84	2	5	0.5	False
85	1	3	1	True
86	1	5	1	True
87	1	5	0.5	True
87	2	3	0.5	False
88	1	5	1	True
89	1	2	0.5	True
89	2	4	0.5	False
90	1	5	1	True
91	1	1	1	True
92	1	2	1	True
93	1	1	0.5	True
93	2	5	0.5	False
94	1	3	1	True
95	1	4	0.5	True
95	2	1	0.5	False
96	1	3	0.5	True
96	2	4	0.5	False
97	1	2	1	True
98	1	2	1	True
99	1	2	1	True
100	1	3	0.5	True
100	2	2	0.5	False
101	1	4	1	True
102	1	5	1	True
103	1	3	1	True
104	1	3	1	True
105	1	5	0.5	True
105	2	3	0.5	False
106	1	3	1	True
107	1	1	1	True
108	1	2	0.5	True
108	2	4	0.5	False
109	1	1	1	True
110	1	4	1	True
111	1	3	1	True
112	1	5	1	True
113	1	2	1	True
114	1	1	0.5	True
114	2	4	0.5	False
115	1	1	0.5	True
115	2	2	0.5	False
116	1	1	1	True
117	1	5	1	True
118	1	2	0.5	True
118	2	3	0.5	False
119	1	2	0.5	True
119	2	4	0.5	False
120	1	5	1	True
121	1	2	1	True
122	1	4	0.5	True
122	2	3	0.5	False
123	1	2	1	True
124	1	2	1	True
125	1	3	1	True
126	1	2	1	True
127	1	5	1	True
